1.088839e+01	1.400941e+01	-1.282847e+01	1.183955e+01	1.271364e+01	-1.280461e+01	1.763632e+01	1.682736e+01	-1.540781e+01	-1.102300e+01	
9.648790e+00	9.729612e+00	-8.364059e+00	1.126279e+01	1.127095e+01	-9.182259e+00	1.179532e+01	1.372004e+01	-1.137257e+01	-1.251391e+01	
1.272520e+01	1.164404e+01	-1.154293e+01	1.128425e+01	1.136245e+01	-1.324082e+01	5.977986e+00	1.036065e+01	-8.597080e+00	-9.677199e+00	
5.103014e+00	5.663668e+00	-5.031602e+00	4.479581e+00	5.314410e+00	-5.509340e+00	1.001515e+01	1.048071e+01	-8.278170e+00	-1.025110e+01	
6.619268e+00	8.158748e+00	-7.395783e+00	6.997496e+00	6.400533e+00	-5.508761e+00	5.100913e+00	6.222534e+00	-5.637450e+00	-5.089367e+00	
9.729853e+00	9.410574e+00	-8.121698e+00	9.856553e+00	1.122023e+01	-1.066457e+01	7.274855e+00	5.621395e+00	-7.788513e+00	-7.808620e+00	
1.115220e+01	1.002447e+01	-9.535077e+00	1.132059e+01	8.928423e+00	-9.036264e+00	9.351683e+00	8.272880e+00	-8.300925e+00	-9.682439e+00	
1.289347e+01	9.641085e+00	-1.012064e+01	1.022548e+01	8.374953e+00	-1.074694e+01	1.099699e+01	1.363205e+01	-1.367970e+01	-1.269158e+01	
1.150978e+01	1.175918e+01	-9.307932e+00	1.082570e+01	8.881464e+00	-1.185941e+01	8.984307e+00	6.557558e+00	-6.668759e+00	-7.505663e+00	
4.573910e+00	8.689763e+00	-4.956536e+00	7.160727e+00	4.723575e+00	-6.250371e+00	9.154313e+00	1.052521e+01	-9.704655e+00	-8.725241e+00	
6.060972e+00	8.146004e+00	-7.356045e+00	7.671509e+00	6.304351e+00	-6.510537e+00	6.805569e+00	6.156324e+00	-6.432500e+00	-6.717385e+00	
6.419955e+00	6.242760e+00	-7.932719e+00	5.396526e+00	8.363391e+00	-6.879101e+00	6.213161e+00	6.198418e+00	-7.031353e+00	-5.214504e+00	
5.887256e+00	5.522999e+00	-6.405781e+00	5.264101e+00	4.991899e+00	-3.586028e+00	1.445802e+01	1.311006e+01	-1.405964e+01	-1.366799e+01	
1.088207e+01	1.176284e+01	-1.287843e+01	1.360329e+01	1.366362e+01	-1.334223e+01	5.337723e+00	4.677881e+00	-4.292013e+00	-6.515729e+00	
